0.016557,0.021134,0.983475
0.016835,0.024578,0.981192
0.017482,0.022854,0.982405
0.017760,0.022665,0.982473
0.018407,0.021068,0.983679
0.018500,0.022916,0.982187
0.018499,0.022669,0.982334
0.018870,0.022854,0.982188
0.016186,0.020941,0.983623
0.016834,0.020874,0.983700
0.017020,0.022660,0.982634
0.017482,0.022788,0.982343
0.017760,0.024763,0.981053
0.017760,0.022792,0.982393
0.017667,0.022599,0.982425
0.018406,0.020813,0.983631
0.024884,0.028150,0.978202
0.025713,0.028216,0.978276
0.025345,0.028207,0.978143
0.025160,0.033071,0.974647
0.025900,0.031342,0.975796
0.026269,0.028022,0.978614
0.025622,0.027899,0.978362
0.026361,0.031219,0.975672
0.048099,0.055090,0.957861
0.049949,0.052978,0.959441
0.046622,0.054707,0.957909
0.045048,0.049279,0.961996
0.044956,0.042321,0.967634
0.046342,0.049156,0.962105
0.044121,0.051263,0.960616
0.041070,0.045769,0.964747
0.183620,0.201726,0.864818
0.143249,0.136091,0.905575
0.147347,0.155962,0.892233
0.131341,0.144139,0.898943
0.112576,0.114261,0.918069
0.118029,0.120731,0.913219
0.096185,0.103811,0.923958
0.083148,0.082795,0.939117
